"","athlete_id","name","school"
"1",789356,"Jerome Bennett","Bates"
"2",1231763,"Jonas Crimm","Bowdoin"
"3",1231765,"Tim Fuderich","Bowdoin"
"4",1231772,"Thompson Ogilvie","Bowdoin"
"5",1234107,"Erik Born","Bates"
"6",1234108,"Doug Brecher","Bates"
"7",1234109,"Carlos Castro","Bates"
"8",1234110,"Nicolas Defrancis","Bates"
"9",1234111,"Steven Fukuda","Bates"
"10",1234112,"Peter Garber","Bates"
"11",1234118,"Mark Liu","Bates"
"12",1234119,"Richard Mcneil","Bates"
"13",1234120,"Evan Michaelson","Bates"
"14",1234121,"James Packard","Bates"
"15",1234123,"Jeff Roeser","Bates"
"16",1234124,"Griffin Stabler","Bates"
"17",1234126,"Conor Welch","Bates"
"18",1243538,"Mike Bienkowski","Colby"
"19",1246331,"Ben Ossoff","Colby"
"20",1257614,"James Bingham","Bowdoin"
"21",1257616,"Ben Wharton","Bowdoin"
"22",1443776,"Colman Hatton","Bowdoin"
"23",1462104,"Kyle Hebert","Bowdoin"
"24",1696316,"Tim Anderson","Bowdoin"
"25",1696317,"Stan Berkow","Bowdoin"
"26",1696318,"Will Cabana","Bowdoin"
"27",1696319,"Benjamin Cedars","Bowdoin"
"28",1696320,"Anthony Colabella","Bowdoin"
"29",1696321,"Andrew Coleman","Bowdoin"
"30",1696322,"Sam Epstein","Bowdoin"
"31",1696326,"Brian Lohotsky","Bowdoin"
"32",1696328,"Mike Mitchell","Bowdoin"
"33",1696329,"Spencer Nietmann","Bowdoin"
"34",1696366,"Zach Winters","Bowdoin"
"35",1709410,"Brett Epler","Bates"
"36",1709414,"Ethan Waldman","Bates"
"37",1709537,"Tristan Black-Ingersoll","Bates"
"38",1709540,"Thomas Esponnette","Bates"
"39",1709542,"Peter Gurney","Bates"
"40",1709546,"Monthe Kofos","Bates"
"41",1709548,"Kevin Mcdonald","Bates"
"42",1709549,"Christopher Murtagh","Bates"
"43",1709550,"Jospeh Musso","Bates"
"44",1709551,"Ryan Quinn","Bates"
"45",1709553,"Benjamin Taska","Bates"
"46",1739118,"Zac Currier","Colby"
"47",1739119,"John Deascentis","Colby"
"48",1739127,"Andy Maguire","Colby"
"49",1739607,"Jordan Termine","Bowdoin"
"50",1893101,"Patrick Carroll","Bates"
"51",1916373,"James Bowe","Colby"
"52",1916617,"Charlie Berdahl","Bowdoin"
"53",1962576,"Tucker Cushing","Colby"
"54",2126523,"Troy Calandra","Bates"
"55",2126524,"Ben Chebot","Bates"
"56",2126525,"Sean Colligan","Bates"
"57",2126526,"Peter Corcoran","Bates"
"58",2126528,"Luke Harmeling","Bates"
"59",2126529,"Doug Kempner","Bates"
"60",2126532,"Sam Wood","Bates"
"61",2210326,"Andres Botero","Bowdoin"
"62",2210331,"Sam Frizell","Bowdoin"
"63",2210332,"Matthew Hillard","Bowdoin"
"64",2210333,"Brian Huynh","Bowdoin"
"65",2210334,"Alex Lucyk","Bowdoin"
"66",2210335,"Chris Martin","Bowdoin"
"67",2210339,"Colin Ogilvie","Bowdoin"
"68",2210340,"Jonathan Ryss","Bowdoin"
"69",2210341,"Will Stafstrom","Bowdoin"
"70",2210342,"Brett Stein","Bowdoin"
"71",2210344,"Riker Wikoff","Bowdoin"
"72",2210346,"Cj Thomas","Bowdoin"
"73",2221595,"David Beck","Bates"
"74",2221598,"Duncan Briggs","Bates"
"75",2221602,"Sam Goldstein","Bates"
"76",2221603,"Sam Grandgeorge","Bates"
"77",2221605,"Mike Jiang","Bates"
"78",2221606,"Nick Marinakis","Bates"
"79",2221610,"Gavin Segall-Abrams","Bates"
"80",2221611,"Obi Udeh","Bates"
"81",2223886,"Matthieu Nadeau","Colby"
"82",2223887,"Jarad Doyon","Colby"
"83",2223888,"Samuel Grant","Colby"
"84",2223889,"Justin Rouse","Colby"
"85",2223890,"T.J. Meehan","Colby"
"86",2223891,"Mike Reilly","Colby"
"87",2223893,"Chris Halladay","Colby"
"88",2223894,"Austin Duncanson","Colby"
"89",2223895,"George French","Colby"
"90",2223898,"Will Supple","Colby"
"91",2249527,"Devon Rook","Colby"
"92",2340488,"Colin Fong","Bowdoin"
"93",2340492,"Mason Moss","Bowdoin"
"94",2340493,"Scott Longwell","Bowdoin"
"95",2340494,"Anders Samuelson","Bowdoin"
"96",2340495,"Matthew Ramos","Bowdoin"
"97",2360168,"Cj Chu","Bates"
"98",2360171,"Chris Labrecque","Bates"
"99",2676262,"John Williams","Colby"
"100",2735109,"Myles Black-Ingersoll","Bates"
"101",2735110,"James Epstein","Bates"
"102",2735111,"Chris Hernandez","Bates"
"103",2735112,"Eric Kimball","Bates"
"104",2735113,"James Lepage","Bates"
"105",2735114,"Graham Pearsall","Bates"
"106",2735115,"Ryan Rice","Bates"
"107",2735117,"Andrew Wortham","Bates"
"108",2766251,"David Bean","Bowdoin"
"109",2766252,"Nick Cataldo","Bowdoin"
"110",2766253,"Sam Chick","Bowdoin"
"111",2766254,"Kendhall Davis","Bowdoin"
"112",2766255,"Justin Foster","Bowdoin"
"113",2766256,"Matt Gamache","Bowdoin"
"114",2766257,"Andrew Gluesing","Bowdoin"
"115",2766258,"Nate Gordon","Bowdoin"
"116",2766259,"Andrew Hancock","Bowdoin"
"117",2766260,"Francis Joyce","Bowdoin"
"118",2766262,"Ryan Larochelle","Bowdoin"
"119",2766265,"Eddy Page","Bowdoin"
"120",2766266,"Tyler Silver","Bowdoin"
"121",2766267,"Marcus Schneider","Bowdoin"
"122",2766268,"Simon Ward","Bowdoin"
"123",2766269,"Drew Zembruski","Bowdoin"
"124",2766270,"Toby Zitsman","Bowdoin"
"125",2766432,"Matthew Leotti","Bowdoin"
"126",2768756,"Nick Barron","Bates"
"127",2768757,"Jesse Chapman","Bates"
"128",2768758,"Elliot Foster","Bates"
"129",2768759,"Anthony Haeuser","Bates"
"130",2768760,"David Hardison","Bates"
"131",2768761,"James Lepage","Bates"
"132",2768762,"Phi Nguyen","Bates"
"133",2768765,"Nate Rickler","Bates"
"134",2768766,"Janith Rupasinghe","Bates"
"135",2768768,"Tim Woods","Bates"
"136",2793788,"Andrew Grant","Bates"
"137",2797596,"Brian Mcdonald","Bowdoin"
"138",2799042,"Clay Brown","Colby"
"139",2799043,"Freddy Cabrera","Colby"
"140",2799045,"Luke Doherty Munro","Colby"
"141",2799046,"Harry Geldermann","Colby"
"142",2799048,"Shaquann Huntt","Colby"
"143",2799054,"Michael Langley","Colby"
"144",2799055,"Tom Letourneau","Colby"
"145",2799057,"Jacob Marx","Colby"
"146",2799058,"Nick Papanastassiou","Colby"
"147",2799059,"Alec Peters","Colby"
"148",2799060,"Sean Ripoll","Colby"
"149",2799061,"Julio Suastegui","Colby"
"150",2799062,"John Williams","Colby"
"151",2799063,"Trent Wiseman","Colby"
"152",2800340,"Ethan Crockett","Colby"
"153",2801830,"Jason Joseph","Bates"
"154",2894083,"Dominique Kone","Colby"
"155",2894103,"Malcolm Kerr","Colby"
"156",2950724,"Zack Kofos","Bates"
"157",2978652,"Mason Roberts","Colby"
"158",2978653,"Wyatt Fereday","Colby"
"159",2981576,"Kyle Duncan","Bowdoin"
"160",2981580,"Grant Easterbrook","Bowdoin"
"161",2983520,"Kyle White","Bowdoin"
"162",2983521,"Cedric White","Bowdoin"
"163",2988694,"Evan Pare","Bowdoin"
"164",2988695,"Sean O'Malley","Bowdoin"
"165",2988932,"Jason Lesaldo","Bowdoin"
"166",2991997,"Andrew Del Calvo","Bowdoin"
"167",3146726,"Rory Zia","Colby"
"168",3146729,"Ben Smith","Colby"
"169",3146730,"Dylan Nisky","Colby"
"170",3146731,"Dave Murphy","Colby"
"171",3146733,"Chris Greenlee","Colby"
"172",3146734,"Mathew Cloherty","Colby"
"173",3146735,"Kevin Clarke","Colby"
"174",3146736,"Alexander Baier","Colby"
"175",3243605,"Mike Martin","Bates"
"176",3247602,"Timothy Hunt","Bowdoin"
"177",3247608,"Kevin Wu","Bowdoin"
"178",3247628,"Coby Horowitz","Bowdoin"
"179",3247629,"Timothy Hunt","Bowdoin"
"180",3247630,"Matthew Mccarty","Bowdoin"
"181",3247631,"Tobias Nicholson","Bowdoin"
"182",3247633,"Nick Saba","Bowdoin"
"183",3247634,"Sam Seekins","Bowdoin"
"184",3247641,"Vincent Tymoczko","Bowdoin"
"185",3247642,"Michael Walsh","Bowdoin"
"186",3247643,"Kevin Wu","Bowdoin"
"187",3247644,"Matt Wu","Bowdoin"
"188",3247645,"Greg Talpey","Bowdoin"
"189",3247646,"Benjamin Cedars","Bowdoin"
"190",3269949,"Joshua Ajamu","Bates"
"191",3269950,"Tristian Black-Ingersoll","Bates"
"192",3269951,"Scott Burgis","Bates"
"193",3269952,"Sean Colligan","Bates"
"194",3269953,"Daniel French","Bates"
"195",3269954,"Noah Graboys","Bates"
"196",3269957,"Tyler Grees","Bates"
"197",3269958,"Anthony Haeuser","Bates"
"198",3269959,"Chris Halsted","Bates"
"199",3269960,"Tully Hannan","Bates"
"200",3269961,"Aubrey Joseph Hill","Bates"
"201",3269962,"Patrick Jeffries","Bates"
"202",3269963,"Sean Keller","Bates"
"203",3269964,"Sander Langer","Bates"
"204",3269966,"Erik Leibouitz","Bates"
"205",3269968,"Ben Levy","Bates"
"206",3269969,"Michael Martin","Bates"
"207",3269971,"Jarret Mckallagat","Bates"
"208",3269972,"Colin O'Leary","Bates"
"209",3269973,"David Pless","Bates"
"210",3269974,"Nate Rickler","Bates"
"211",3269975,"Van Sandwik","Bates"
"212",3269976,"Ken Whitney","Bates"
"213",3269977,"Festus Yangani","Bates"
"214",3274728,"Barrett Wood","Bowdoin"
"215",3274758,"Randy Kring","Bowdoin"
"216",3293949,"Dan Forsman","Colby"
"217",3293950,"Devin Gibbs","Colby"
"218",3293952,"Mduduzi Langwenya","Colby"
"219",3293953,"Mackenzie Nichols","Colby"
"220",3293954,"Sergei Poljak","Colby"
"221",3293955,"Matt White","Colby"
"222",3293962,"Mike Jones","Colby"
"223",3293964,"Justin Owumi","Colby"
"224",3304627,"Colin Hanrahan","Bates"
"225",3304628,"Zak Kofos","Bates"
"226",3317328,"Randy Person","Colby"
"227",3325138,"Sebastian Bamba","Bowdoin"
"228",3473350,"Alex Arsenault","Bates"
"229",3473351,"Logan Greenblatt","Bates"
"230",3473352,"Sean Keller","Bates"
"231",3480453,"Jonathan Kalin","Colby"
"232",3480455,"Will Chen","Colby"
"233",3485967,"Ryan Larochelle","Bowdoin"
"234",3497410,"Lonnie Hackett","Bowdoin"
"235",3505542,"Ben Kekeison","Bowdoin"
"236",3505552,"Kevin Miao","Bowdoin"
"237",3505555,"Timothy Prior","Bowdoin"
"238",3505560,"Eric Ramsay","Bowdoin"
"239",3505562,"Peter Tracy","Bowdoin"
"240",3541894,"Patrick Fitzgerald","Colby"
"241",3647135,"Camden Black-Ingersoll","Bates"
"242",3647136,"Michael Creedon","Bates"
"243",3647138,"Zach Polich","Bates"
"244",3647139,"Christian Sampson","Bates"
"245",3647140,"John Stansel","Bates"
"246",3647145,"Phi Nguyen","Bates"
"247",3658497,"Will Ossoff","Bowdoin"
"248",3658511,"Bronson Tunstall","Bowdoin"
"249",3665508,"Paco Defrancis","Colby"
"250",3680385,"David Black","Bowdoin"
"251",3680386,"Sawyer Bowman","Bowdoin"
"252",3680388,"Justin Dury-Agri","Bowdoin"
"253",3680389,"Chris Genco","Bowdoin"
