"","athlete_id","race_date","event","result"
"1",6914766,2022-04-23,10,"244.37"
"2",6914766,2022-04-15,10,"243.93"
"3",6914766,2022-04-09,8,"121.45"
"4",6914766,2022-04-02,10,"251.13"
"5",6914766,2022-02-25,22,"498.84"
"6",6914766,2022-02-11,11,"265.21"
"7",6914766,2022-02-05,11,"272.46"
"8",6914766,2022-02-05,22,"511.01"
"9",6914766,2022-02-04,11,"272.46"
"10",6914766,2022-02-04,22,"511.01"
"11",6914766,2021-05-08,10,"246.9"
"12",6914766,2021-05-01,13,"955.13"
"13",6914766,2021-04-24,10,"247.44"
"14",6914766,2020-02-28,11,"275.8"
"15",6914766,2020-02-14,11,"263.33"
"16",6914766,2020-02-14,23,"621.69"
"17",6914766,2020-02-08,11,"271.22"
"18",6914766,2020-02-08,12,"568.34"
"19",6914766,2020-01-24,11,"259.66"
"20",6914766,2020-01-17,12,"539.77"
"21",6914766,2020-01-11,9,"158.55"
"22",6914766,2020-01-11,22,"526.03"
"23",6914766,2019-05-02,22,"473.16"
"24",6914766,2019-04-27,10,"259.13"
"25",6914766,2019-04-19,8,"128.97"
"26",6914766,2019-04-19,10,"247.14"
"27",6914766,2019-04-13,10,"247.86"
"28",6914766,2019-04-06,13,"957.17"
"29",6914766,2019-02-22,11,"268.81"
"30",6914766,2019-02-16,9,"157.7"
"31",6914766,2019-02-08,11,"264.56"
"32",6914766,2019-02-02,9,"168.78"
"33",6914766,2019-02-02,11,"265.39"
"34",6914766,2019-01-25,13,"944.36"
"35",6914766,2019-01-18,12,"552.48"
"36",6914766,2019-01-12,11,"276.51"
"37",6914766,2019-01-12,22,"534.33"
"38",1234126,2010-01-30,8,"132.93"
"39",1234126,2010-01-30,22,"511.19"
"40",1234126,2010-01-22,8,"121.39"
"41",1234126,2009-04-25,19,"583.21"
"42",1234126,2009-04-18,19,"575.58"
"43",1234126,2009-04-11,10,"257.5"
"44",1234126,2009-04-04,19,"593.94"
"45",1234126,2007-04-28,19,"615.58"
"46",1234126,2007-04-21,19,"637.5"
"47",1234126,2007-04-07,10,"276.87"
"48",1234126,2007-02-03,9,"157.56"
"49",1234126,2007-01-13,8,"134.12"
"50",1234126,2007-01-13,11,"294.15"
"51",8722727,2024-05-16,4,"DNS"
"52",8722727,2024-05-16,20,"41.61"
"53",8722727,2024-05-10,4,"21.79"
"54",8722727,2024-05-10,20,"41.78"
"55",8722727,2024-05-03,3,"11.07"
"56",8722727,2024-05-03,20,"42.48"
"57",8722727,2024-04-27,3,"11.10"
"58",8722727,2024-04-27,3,"10.95"
"59",8722727,2024-04-27,4,"21.99"
"60",8722727,2024-04-27,20,"41.46"
"61",8722727,2024-04-19,3,"11.19"
"62",8722727,2024-04-19,20,"42.20"
"63",8722727,2024-04-13,4,"22.48"
"64",8722727,2024-04-13,20,"41.81"
"65",8722727,2024-04-13,21,"217.22"
"66",8722727,2024-04-07,3,"11.00"
"67",8722727,2024-04-07,4,"22.37"
"68",8722727,2024-03-29,3,"11.01"
"69",8722727,2024-03-29,4,"22.65"
"70",8722727,2024-03-23,20,"43.07"
"71",8722727,2024-02-17,2,"7.18"
"72",8722727,2024-02-17,2,"7.21"
"73",8722727,2024-02-17,4,"23.76"
"74",8722727,2024-02-09,4,"23.11"
"75",8722727,2024-02-03,1,"6.79"
"76",8722727,2024-02-03,1,"6.75"
"77",8722727,2024-02-03,4,"23.79"
"78",8722727,2024-01-28,4,"23.35"
"79",8722727,2024-01-19,4,"23.54"
"80",6474002,2018-04-07,10,"256.58"
"81",6474002,2018-02-09,11,"267.01"
"82",6474002,2018-02-03,11,"276.92"
"83",6474002,2018-01-27,11,"279.1"
"84",6474002,2018-01-19,12,"574.49"
"85",6474002,2018-01-13,11,"291.48"
"86",2126525,2010-02-19,13,"984.55"
"87",2126525,2010-02-12,12,"554.38"
"88",2126525,2010-02-06,13,"932.85"
"89",2126525,2010-01-29,12,"537.77"
"90",2126525,2010-01-22,12,"543.52"
"91",2126525,2010-01-16,13,"978.05"
"92",2126525,2009-05-02,14,"2052.76"
"93",2126525,2009-04-25,13,"968.57"
"94",2126525,2009-04-18,14,NA
"95",2126525,2009-04-11,8,"133.2"
"96",2126525,2009-04-11,10,"256.31"
"97",2126525,2009-04-04,13,"951.65"
"98",2126525,2009-03-28,14,"2016.11"
"99",2126525,2009-02-13,13,"978.9"
"100",2126525,2009-02-07,13,"972.95"
"101",2126525,2009-01-31,13,"962"
"102",2126525,2009-01-24,11,"285.82"
"103",2126525,2009-01-17,12,"566.93"
"104",3647145,2012-01-28,8,"147.28"
"105",3647145,2012-01-20,8,"145.62"
"106",3647145,2012-01-15,8,"156.25"
"107",3647145,2012-01-15,11,"341.65"
"108",4626547,2017-05-12,33,"5383"
"109",4626547,2017-05-12,3,"12.06"
"110",4626547,2017-05-12,26,"5.73"
"111",4626547,2017-05-12,28,"9.24"
"112",4626547,2017-05-12,24,"1.66"
"113",4626547,2017-05-12,5,"54.05"
"114",4626547,2017-05-12,17,"17.60"
"115",4626547,2017-05-12,25,"4.05"
"116",4626547,2017-05-12,29,"27.59"
"117",4626547,2017-05-12,31,"38.44"
"118",4626547,2017-05-12,10,"294.13"
